0000,1
0001,1
0011,0
0012,0
0013,1
0014,0
0015,1
0016,1
0017,0
0018,1
0019,1
0020,1
0021,0
0022,1
0023,0
0024,1
0025,0
0026,0
0027,1
0028,1
0037,1
0038,1
0039,1
0040,0
0043,1
0044,0
0047,1
0048,0
0052,1
0053,0
0059,1
0060,0
0065,1
0066,0
0098,1
0099,0
0100,1
0117,0
0118,0
0119,1
0120,0
0121,1
0122,0
0123,0
0124,1
0125,1
0126,1
0127,0
0128,0
0129,1
0130,1
0131,0
0266,1
0267,0
0268,0
0269,1
0295,1
0296,0
0297,1
0298,1
0299,0
0300,1
0305,1
0306,0
0307,1
0376,1
0377,0
0400,0
0401,1
0402,1
0403,1
0404,0
0405,1
0406,0
0407,1
0408,1
0409,0
0410,0
0411,1
0414,1
0415,0
0416,1
0428,0
0429,1
0430,0
0431,1
0432,1
0433,1
0434,0
0435,0
0436,1
0437,0
0438,1
0439,0
0440,1
0441,1
0442,0
0465,0
0466,0
0467,0
0468,1
0469,1
0470,1
0471,1
0472,0
0473,0
0474,1
0475,0
0476,0
0477,0
0478,1
0479,1
0480,1
0546,1
0547,1
0548,0
0549,0
0562,1
0563,0
0564,1
0565,0
